date ,stream,variable,value
2017-12-12,QPA,DIC,4.36
2017-12-19,QPA,DIC,1.73
2017-12-26,QPA,DIC,NA
2018-01-02,QPA,DIC,3.58
2018-01-09,QPA,DIC,3.43
2018-01-16,QPA,DIC,3.14
2018-01-23,QPA,DIC,4.11
2018-01-30,QPA,DIC,0.37
2018-02-06,QPA,DIC,0.25
2018-02-13,QPA,DIC,0.27
2018-02-20,QPA,DIC,2.74
2018-02-27,QPA,DIC,3.49
2018-03-06,QPA,DIC,4.09
2018-03-13,QPA,DIC,0.41
2018-03-20,QPA,DIC,0.49
2018-03-27,QPA,DIC,5.84
2018-04-03,QPA,DIC,6.98
2018-04-10,QPA,DIC,5.33
2018-04-17,QPA,DIC,3.98
2018-04-24,QPA,DIC,0.39
2018-05-01,QPA,DIC,0.5
2018-05-08,QPA,DIC,0.31
2018-05-15,QPA,DIC,2.94
2018-05-22,QPA,DIC,3.49
2018-05-29,QPA,DIC,3.48
2018-06-05,QPA,DIC,5.38
2018-06-12,QPA,DIC,3.21
2018-06-19,QPA,DIC,6.29
2018-06-26,QPA,DIC,3.85
2018-07-03,QPA,DIC,6.36
2018-07-10,QPA,DIC,NA
2018-07-17,QPA,DIC,NA
2018-07-24,QPA,DIC,NA
2018-07-31,QPA,DIC,4.92
2018-08-07,QPA,DIC,5.26
2018-08-14,QPA,DIC,4.85
2018-08-21,QPA,DIC,4.54
2018-08-28,QPA,DIC,2.72
2018-09-04,QPA,DIC,NA
2018-09-11,QPA,DIC,6.86
2018-09-18,QPA,DIC,6.22
2018-09-25,QPA,DIC,3.53
2018-10-02,QPA,DIC,3.58
2018-10-09,QPA,DIC,NA
2018-10-16,QPA,DIC,3.85
2018-10-23,QPA,DIC,2.78
2018-10-30,QPA,DIC,0.41
2018-11-06,QPA,DIC,0.29
2018-11-13,QPA,DIC,5.25
2018-11-20,QPA,DIC,5.02
2018-11-27,QPA,DIC,4.21
2018-12-04,QPA,DIC,4.82
2018-12-11,QPA,DIC,4.75
2018-12-18,QPA,DIC,4.98
2018-12-25,QPA,DIC,6.18
2019-01-02,QPA,DIC,5.46
2019-01-08,QPA,DIC,5.35
2019-01-15,QPA,DIC,4.84
2019-01-22,QPA,DIC,NA
2019-01-29,QPA,DIC,4.41
2019-02-05,QPA,DIC,5.42
2019-02-12,QPA,DIC,4.67
2019-02-19,QPA,DIC,7.13
2019-02-26,QPA,DIC,5.27
2019-03-05,QPA,DIC,NA
2019-03-12,QPA,DIC,5.16
2019-03-19,QPA,DIC,7.37
2019-03-26,QPA,DIC,6.11
2019-04-02,QPA,DIC,NA
2019-04-09,QPA,DIC,NA
2019-04-16,QPA,DIC,7.19
2019-04-23,QPA,DIC,6.78
2019-04-30,QPA,DIC,5.29
2019-05-07,QPA,DIC,3.99
